ID,Carrera,Edad,AyudaFamiliar,PlanSocial,Trabajo,Beca,HsTrabSem,Genero,EstadoCivil,SituacionPadre,SituacionMadre,CantidadHijos,ViveCon,CP,Aprobadas,Reprobadas,Prom_cAplazo,Plazo, A/P ,DesempR,DesempC
97,CPN,25,N,N,S,N,4,M,1,0,0,0,3,5500,36,1,8.32,7,  5.14 ,  42.79 ,1
100,LA,24,S,N,S,N,4,M,1,0,0,0,3,5570,36,4,7.53,7,  5.14 ,  38.73 ,1
101,CPN,25,S,S,N,S,0,F,1,0,0,0,3,5500,27,8,7,7,  3.86 ,  27.00 ,1
102,CPN,25,S,N,S,N,1,F,1,0,0,0,3,5500,23,11,6.24,7,  3.29 ,  20.50 ,0
103,CPN,25,S,N,S,S,2,F,1,0,0,0,3,5577,34,9,7.07,7,  4.86 ,  34.34 ,1
104,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5501,31,8,6.67,7,  4.43 ,  29.54 ,1
105,CPN,24,S,N,S,N,4,F,1,1,0,0,3,5519,34,7,7.29,7,  4.86 ,  35.41 ,1
106,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5600,29,13,6.72,7,  4.14 ,  27.84 ,1
107,CPN,25,S,N,N,S,0,F,1,1,0,0,3,5521,23,10,6.33,7,  3.29 ,  20.80 ,0
108,LA,25,S,N,S,N,,M,1,0,0,0,3,5500,31,13,6.68,7,  4.43 ,  29.58 ,1
109,CPN,25,N,S,N,N,0,F,1,0,0,0,3,5570,24,9,6.33,7,  3.43 ,  21.70 ,0
111,CPN,25,S,N,N,N,0,F,1,0,1,0,3,5500,36,3,8.18,7,  5.14 ,  42.07 ,1
113,CPN,25,S,N,N,N,0,M,1,0,0,1,3,5500,17,8,6.24,7,  2.43 ,  15.15 ,0
114,LA,25,S,N,S,N,2,F,1,0,0,0,3,5527,36,9,6.93,7,  5.14 ,  35.64 ,1
115,CPN,24,S,N,N,N,0,F,1,1,0,0,3,5500,17,1,7.83,7,  2.43 ,  19.02 ,0
118,CPN,25,S,N,S,N,,F,1,0,0,0,3,5527,32,7,6.84,7,  4.57 ,  31.27 ,1
119,CPN,26,S,N,N,S,0,F,1,0,0,0,3,5519,12,31,4.47,7,  1.71 ,  7.66 ,0
122,CPN,24,S,S,N,N,0,M,1,0,0,0,3,5539,28,15,6.16,7,  4.00 ,  24.64 ,1
125,LE,26,S,N,N,S,0,M,1,0,0,0,5,5500,33,5,7.76,7,  4.71 ,  36.58 ,1
126,CPN,24,S,N,S,N,4,F,1,0,0,0,3,5541,33,16,6.31,7,  4.71 ,  29.75 ,1
127,CPN,27,N,S,N,N,0,F,5,0,0,0,4,5507,22,11,6.21,7,  3.14 ,  19.52 ,0
129,LA,25,S,S,S,N,1,F,1,0,0,1,4,5515,31,9,6.98,7,  4.43 ,  30.91 ,1
130,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5521,9,12,5,7,  1.29 ,  6.43 ,0
131,CPN,26,S,N,S,N,1,F,1,0,0,0,3,5513,22,13,6.2,7,  3.14 ,  19.49 ,0
132,CPN,24,S,N,S,N,2,M,1,0,0,0,3,5535,19,11,6.27,7,  2.71 ,  17.02 ,0
133,CPN,26,S,N,N,N,0,F,1,0,0,0,3,5525,21,15,6.11,7,  3.00 ,  18.33 ,0
134,CPN,25,S,N,N,N,0,F,1,1,1,0,3,9420,33,11,6.68,7,  4.71 ,  31.49 ,1
135,CPN,26,S,N,N,N,0,M,1,0,0,0,3,5500,36,9,6.73,7,  5.14 ,  34.61 ,1
136,CPN,24,S,N,S,N,2,F,1,0,0,0,3,5505,31,5,7.67,7,  4.43 ,  33.97 ,1
137,CPN,24,N,N,S,N,3,F,1,1,0,0,4,5500,16,5,6.95,7,  2.29 ,  15.89 ,0
138,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5539,36,6,7.17,7,  5.14 ,  36.87 ,1
139,CPN,24,N,N,S,S,2,M,1,1,0,0,3,5501,35,5,7.73,7,  5.00 ,  38.65 ,1
141,LA,24,S,N,S,N,,F,1,0,0,0,3,5544,36,4,7.63,7,  5.14 ,  39.24 ,1
142,CPN,25,S,N,S,N,1,M,1,0,0,0,3,5509,17,15,5.88,7,  2.43 ,  14.28 ,0
143,CPN,24,S,S,N,N,0,F,1,0,0,0,3,5503,30,8,6.58,7,  4.29 ,  28.20 ,1
146,CPN,24,S,S,S,N,3,F,1,0,0,0,3,5585,27,2,7.59,6,  4.50 ,  34.16 ,1
148,LA,28,N,N,S,N,4,M,1,1,0,0,3,5600,20,7,7.5,7,  2.86 ,  21.43 ,0
150,CPN,27,S,N,N,N,0,F,1,0,0,0,3,5509,14,11,5.4,7,  2.00 ,  10.80 ,0
154,CPN,25,S,S,S,N,2,F,1,0,0,0,3,5505,22,22,5.8,7,  3.14 ,  18.23 ,0
155,CPN,25,S,N,N,S,0,M,1,0,0,0,3,5521,24,11,6.46,7,  3.43 ,  22.15 ,0
156,LA,24,N,N,S,N,4,M,1,0,0,0,1,5600,34,9,6.5,7,  4.86 ,  31.57 ,1
157,CPN,25,S,N,S,N,3,M,1,0,0,0,3,5570,14,8,6.27,7,  2.00 ,  12.54 ,0
160,CPN,27,S,N,S,N,2,F,5,0,0,2,4,5521,21,5,7.38,7,  3.00 ,  22.14 ,0
161,CPN,24,S,S,S,N,2,F,1,0,0,0,3,5529,36,7,7.19,7,  5.14 ,  36.98 ,1
162,LE,24,S,N,N,N,0,F,1,0,0,0,3,5600,33,9,6.9,7,  4.71 ,  32.53 ,1
163,LA,24,S,N,S,N,1,M,1,0,0,0,3,5523,34,3,7.54,7,  4.86 ,  36.62 ,1
165,CPN,24,S,N,N,S,0,M,1,0,0,0,3,5539,18,17,5.83,7,  2.57 ,  14.99 ,0
166,CPN,25,S,N,N,N,0,M,1,1,0,0,3,5521,18,12,5.87,7,  2.57 ,  15.09 ,0
168,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5500,30,5,7.06,7,  4.29 ,  30.26 ,1
170,LA,25,S,S,S,N,2,M,1,0,0,0,3,5609,27,4,7.68,7,  3.86 ,  29.62 ,1
172,LA,24,N,N,N,N,0,M,1,0,0,0,,5521,29,4,7.31,4,  7.25 ,  53.00 ,1
173,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5523,30,13,6.18,7,  4.29 ,  26.49 ,1
174,CPN,24,S,N,S,N,2,F,1,0,0,0,3,5501,36,10,6.96,7,  5.14 ,  35.79 ,1
175,LA,28,N,N,N,N,0,M,1,1,0,0,3,5513,21,12,6,7,  3.00 ,  18.00 ,0
178,LA,26,N,S,N,N,0,F,1,0,0,0,3,5600,30,10,6.68,7,  4.29 ,  28.63 ,1
180,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5505,20,5,6.68,7,  2.86 ,  19.09 ,0
182,LA,28,N,N,S,N,4,M,1,0,0,0,3,5525,34,20,7.32,7,  4.86 ,  35.55 ,1
182,CPN,28,N,N,S,N,4,M,1,0,0,0,3,5525,18,5,6.45,4,  4.50 ,  29.03 ,1
187,LE,25,S,S,N,N,0,M,1,1,0,0,3,5509,36,11,7.59,7,  5.14 ,  39.03 ,1
189,CPN,26,N,N,N,S,0,F,1,1,0,0,3,5570,19,18,5.84,7,  2.71 ,  15.85 ,0
190,LA,26,S,N,N,N,0,M,1,0,0,0,3,5505,32,4,7.64,7,  4.57 ,  34.93 ,1
193,CPN,26,S,N,S,N,3,F,1,1,0,0,3,5539,16,12,6.11,7,  2.29 ,  13.97 ,0
194,CPN,25,S,N,N,N,0,F,1,0,0,1,3,5500,23,14,5.97,7,  3.29 ,  19.62 ,0
197,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5543,23,16,6.15,7,  3.29 ,  20.21 ,0
199,CPN,24,S,N,S,N,4,F,1,0,0,0,3,5500,18,7,6.92,7,  2.57 ,  17.79 ,0
201,CPN,24,S,N,N,S,0,F,1,0,0,0,3,5505,36,3,7.33,7,  5.14 ,  37.70 ,1
202,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5521,24,10,6.56,7,  3.43 ,  22.49 ,0
204,LA,25,N,S,N,N,0,F,1,0,0,0,3,5544,23,10,6.39,7,  3.29 ,  21.00 ,0
205,CPN,25,N,N,S,N,1,F,1,0,0,0,3,5521,18,16,5.82,7,  2.57 ,  14.97 ,0
206,CPN,24,S,N,N,S,0,F,1,1,0,0,3,5515,36,4,7.49,7,  5.14 ,  38.52 ,1
